season,feature_name,Base Elo,MOV Aware Elo
2008-09,batting_average,0.6818181818181818,0.6976744186046512
2009-10,batting_average,0.6684378320935175,0.6758767268862912
2010-11,batting_average,0.6847133757961783,0.6910828025477707
2011-12,batting_average,0.6690340909090909,0.65625
2012-13,batting_average,0.6761904761904762,0.6783068783068783
2013-14,batting_average,0.6641949152542372,0.676906779661017
2014-15,batting_average,0.6701902748414377,0.6701902748414377
2015-16,batting_average,0.6927966101694916,0.7044491525423728
2016-17,batting_average,0.6465608465608466,0.6518518518518519
2017-18,batting_average,0.6835978835978836,0.6783068783068783
2018-19,batting_average,0.6617336152219874,0.6627906976744186
2019-20,batting_average,0.6707920792079208,0.6695544554455446
2020-21,batting_average,0.6125786163522012,0.6251572327044025
2021-22,batting_average,0.6354941551540914,0.6418703506907545
2022-23,batting_average,0.6637931034482759,0.6551724137931034
2008-09,rsquared,0.2389906571694795,0.23831410405614528
2009-10,rsquared,0.2009973121027508,0.2109223002114723
2010-11,rsquared,0.2147330735162294,0.2322320354614159
2011-12,rsquared,0.1992079810269366,0.20901756945302463
2012-13,rsquared,0.2123726873189452,0.22482261117961932
2013-14,rsquared,0.214071187112509,0.23330413725085186
2014-15,rsquared,0.1850528907162205,0.1979811026320113
2015-16,rsquared,0.2533995136442839,0.265213307697853
2016-17,rsquared,0.1873785419088169,0.1893348941634171
2017-18,rsquared,0.1612208257871933,0.17330756299365757
2018-19,rsquared,0.1968043345882213,0.20099092717485967
2019-20,rsquared,0.1927097056770148,0.20421175245226975
2020-21,rsquared,0.1031447843778667,0.12713840184528358
2021-22,rsquared,0.1199855514691499,0.1382661758808531
2022-23,rsquared,0.1287201534934308,0.14875467230615058
